SA22023_V1_00_usual_residence_address,SA22023_V1_00_NAME_usual_residence_address,SA22023_V1_00_NAME_ASCII_usual_residence_address,SA22023_V1_00_educational_institution_address,SA22023_V1_00_NAME_educational_institution_address,SA22023_V1_00_NAME_ASCII_educational_institution_address,2018_Study_at_home,2018_Drive_a_car_truck_or_van,2018_Passenger_in_a_car_truck_or_van,2018_Bicycle,2018_Walk_or_jog,2018_School_bus,2018_Public_bus,2018_Train,2018_Ferry,2018_Other,2018_Total_stated,2023_Study_at_home,2023_Drive_a_car_truck_or_van,2023_Passenger_in_a_car_truck_or_van,2023_Bicycle,2023_Walk_or_jog,2023_School_bus,2023_Public_bus,2023_Train,2023_Ferry,2023_Other,2023_Total_stated
100100,North Cape,North Cape,100100,North Cape,North Cape,27,-999,45,-999,12,60,-999,-999,-999,-999,147,48,-999,75,-999,12,57,-999,-999,-999,-999,201
100100,North Cape,North Cape,100700,Kaitāia East,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15
100100,North Cape,North Cape,100800,Kaitāia West,Kaitaia West,-999,-999,6,-999,-999,63,-999,-999,-999,-999,72,-999,-999,9,-999,-999,60,-999,-999,-999,-999,78
100100,North Cape,North Cape,107100,Whangārei Central,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
100200,Rangaunu Harbour,Rangaunu Harbour,100100,North Cape,North Cape,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,18
100200,Rangaunu Harbour,Rangaunu Harbour,100200,Rangaunu Harbour,Rangaunu Harbour,54,-999,42,-999,-999,42,-999,-999,-999,-999,147,84,-999,42,-999,9,36,-999,-999,-999,-999,171
100200,Rangaunu Harbour,Rangaunu Harbour,100400,Karikari Peninsula,Karikari Peninsula,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12
100200,Rangaunu Harbour,Rangaunu Harbour,100700,Kaitāia East,Kaitaia East,-999,-999,15,-999,-999,18,-999,-999,-999,-999,39,-999,6,24,-999,-999,15,-999,-999,-999,-999,45
100200,Rangaunu Harbour,Rangaunu Harbour,100800,Kaitāia West,Kaitaia West,-999,6,45,-999,-999,78,-999,-999,-999,-999,132,-999,9,60,-999,-999,66,-999,-999,-999,-999,141
100200,Rangaunu Harbour,Rangaunu Harbour,100900,Rangitihi,Rangitihi,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,18,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,12
100200,Rangaunu Harbour,Rangaunu Harbour,101101,Doubtless Bay,Doubtless Bay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9
100400,Karikari Peninsula,Karikari Peninsula,100200,Rangaunu Harbour,Rangaunu Harbour,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9
100400,Karikari Peninsula,Karikari Peninsula,100400,Karikari Peninsula,Karikari Peninsula,12,-999,18,-999,-999,24,-999,-999,-999,-999,54,30,-999,12,-999,-999,36,-999,-999,-999,-999,78
100400,Karikari Peninsula,Karikari Peninsula,100700,Kaitāia East,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
100400,Karikari Peninsula,Karikari Peninsula,100800,Kaitāia West,Kaitaia West,-999,-999,-999,-999,-999,18,-999,-999,-999,-999,24,-999,-999,12,-999,-999,24,-999,-999,-999,-999,42
100400,Karikari Peninsula,Karikari Peninsula,101101,Doubtless Bay,Doubtless Bay,-999,-999,6,-999,-999,12,-999,-999,-999,-999,15,-999,-999,18,-999,-999,33,-999,-999,-999,-999,51
100500,Tangonge,Tangonge,100200,Rangaunu Harbour,Rangaunu Harbour,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
100500,Tangonge,Tangonge,100500,Tangonge,Tangonge,15,-999,12,-999,-999,15,-999,-999,-999,-999,45,21,-999,12,-999,-999,15,-999,-999,-999,-999,54
100500,Tangonge,Tangonge,100600,Ahipara,Ahipara,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
100500,Tangonge,Tangonge,100700,Kaitāia East,Kaitaia East,-999,9,12,-999,-999,9,-999,-999,-999,-999,27,-999,9,12,-999,-999,12,-999,-999,-999,-999,36
100500,Tangonge,Tangonge,100800,Kaitāia West,Kaitaia West,-999,-999,33,-999,-999,45,-999,-999,-999,-999,84,-999,6,36,-999,-999,42,-999,-999,-999,-999,90
