SA22023_V1_00_usual_residence_address,SA22023_V1_00_NAME_usual_residence_address,SA22023_V1_00_NAME_ASCII_usual_residence_address,SA22023_V1_00_workplace_address,SA22023_V1_00_NAME_workplace_address,SA22023_V1_00_NAME_ASCII_workplace_address,2018_Work_at_home,2018_Drive_a_private_car_truck_or_van,2018_Drive_a_company_car_truck_or_van,2018_Passenger_in_a_car_truck_van_or_company_bus,2018_Public_bus,2018_Train,2018_Bicycle,2018_Walk_or_jog,2018_Ferry,2018_Other,2018_Total_stated,2023_Work_at_home,2023_Drive_a_private_car_truck_or_van,2023_Drive_a_company_car_truck_or_van,2023_Passenger_in_a_car_truck_van_or_company_bus,2023_Public_bus,2023_Train,2023_Bicycle,2023_Walk_or_jog,2023_Ferry,2023_Other,2023_Total_stated
100100,North Cape,North Cape,100100,North Cape,North Cape,144,117,33,9,-999,-999,-999,21,-999,6,330,198,165,39,12,-999,-999,-999,15,-999,6,438
100100,North Cape,North Cape,100200,Rangaunu Harbour,Rangaunu Harbour,-999,30,9,-999,-999,-999,-999,-999,-999,-999,42,-999,42,6,-999,-999,-999,-999,-999,-999,-999,51
100100,North Cape,North Cape,100500,Tangonge,Tangonge,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9
100100,North Cape,North Cape,100700,Kaitāia East,Kaitaia East,-999,51,15,-999,-999,-999,-999,-999,-999,-999,69,-999,66,21,-999,-999,-999,-999,-999,-999,-999,93
100100,North Cape,North Cape,100800,Kaitāia West,Kaitaia West,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,30
100200,Rangaunu Harbour,Rangaunu Harbour,100100,North Cape,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,18,12,-999,-999,-999,-999,-999,-999,-999,30
100200,Rangaunu Harbour,Rangaunu Harbour,100200,Rangaunu Harbour,Rangaunu Harbour,213,93,21,15,-999,-999,-999,12,-999,-999,354,240,99,18,9,-999,-999,-999,12,-999,-999,381
100200,Rangaunu Harbour,Rangaunu Harbour,100400,Karikari Peninsula,Karikari Peninsula,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
100200,Rangaunu Harbour,Rangaunu Harbour,100500,Tangonge,Tangonge,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18
100200,Rangaunu Harbour,Rangaunu Harbour,100700,Kaitāia East,Kaitaia East,-999,183,30,9,-999,-999,-999,-999,-999,-999,228,-999,210,51,18,-999,-999,-999,-999,-999,-999,285
100200,Rangaunu Harbour,Rangaunu Harbour,100800,Kaitāia West,Kaitaia West,-999,75,6,-999,-999,-999,-999,-999,-999,-999,87,-999,84,9,-999,-999,-999,-999,-999,-999,-999,99
100200,Rangaunu Harbour,Rangaunu Harbour,100900,Rangitihi,Rangitihi,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21
100200,Rangaunu Harbour,Rangaunu Harbour,101000,Oruru-Parapara,Oruru-Parapara,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
100200,Rangaunu Harbour,Rangaunu Harbour,101101,Doubtless Bay,Doubtless Bay,-999,9,6,-999,-999,-999,-999,-999,-999,-999,18,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
100200,Rangaunu Harbour,Rangaunu Harbour,103000,Kerikeri Central,Kerikeri Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
100200,Rangaunu Harbour,Rangaunu Harbour,103501,Kaikohe,Kaikohe,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
100200,Rangaunu Harbour,Rangaunu Harbour,104600,Kawakawa,Kawakawa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
